Блок,Продукт,Количество,Цена,Эффективность
Утро,Гранатовый сок,100 мл,20,100% (антиоксиданты)
Утро,Гранат,1 шт,50,90% (антиоксиданты)
Утро,Банан,1 шт,15,60% (калий B6)
Утро,Помидор,1 шт,16,70% (витамин C)
Утро,Грецкие орехи,20 г (~2 ст. ложки),24,80% (NAD+/уролитин A)
Утро,Тыквенные семечки,20 г (~2 ст. ложки),14,100% (магний)
Утро,Мандарин,2 шт,30,"85% (витамин C, антиоксиданты)"
Утро,Арахис,20 г (~2 ст. ложки),8,"80% (белок, магний)"
Утро,ИТОГО,,177,
,,,,
Вечер,Гранатовый сок,50 мл (~3 ст. ложки),10,100% (антиоксиданты)
Вечер,Горошек консервированный,120 г (~0.5 стакана),20,80% (фолаты)
Вечер,Помидор,1 шт,16,70% (витамин C)
Вечер,Огурец / редиска,"1 порция (~100 г,  ~0.5 стакана)",10,"60% (витамин C, клетчатка)"
Вечер,Лук,1/2 шт,5,"30% (витамин C, кверцетин)"
Вечер,Чеснок,1 долька,2,25% (антиоксиданты)
Вечер,ИТОГО,,63,
,,,,
,ВСЕГО,,240,
